STATE_NAME,STATE_CODE,AGE_GROUP,CAUSE_OF_DEATH,TOTAL_DEATHS,TOTAL_POPULATION
Kentucky,21,55-64 years,Influenza & Pneumonia,105,598289
Texas,48,75-84 years,Cancer,10458,1080742
Pennsylvania,42,45-54 years,Stroke,159,1604097
Oklahoma,40,75-84 years,Stroke,528,192919
Michigan,26,25-34 years,Diabetes,25,1311614
Georgia,13,65-74 years,Alzheimer & Brain Degeneration Disease,491,926001
Hawaii,15,45-54 years,Heart Diseases,126,167747
Hawaii,15,15-24 years,Other Accidents,10,165937
Oregon,41,1-14 years,Other Causes,105,719347
Delaware,10,65-74 years,Cancer,608,112858
Arizona,4,35-44 years,Stroke,28,896027
South Dakota,46,15-24 years,Other Accidents,19,116664
Colorado,8,15-24 years,Motor Vehicle Accidents,114,743213
New Hampshire,33,65-74 years,Cancer,834,152669
Washington,53,15-24 years,Cancer,23,929322
Pennsylvania,42,55-64 years,Motor Vehicle Accidents,181,1804883
North Dakota,38,45-54 years,Heart Diseases,44,78199
Louisiana,22,1-14 years,Other Accidents,102,909405
Oklahoma,40,15-24 years,Diabetes,10,539562
Ohio,39,1-14 years,Cancer,24,2131107
Pennsylvania,42,25-34 years,Other Causes,775,1709136
Michigan,26,45-54 years,Chronic Respiratory Diseases,126,1254679
Delaware,10,75-84 years,Other Accidents,43,55794
South Dakota,46,75-84 years,COVID-19,377,41670
Arkansas,5,25-34 years,Other Causes,180,396868
Connecticut,9,65-74 years,Other Accidents,142,352819
Montana,30,85+ years,Diabetes,57,22855
District of Columbia,11,45-54 years,Diabetes,15,74286
Nebraska,31,75-84 years,Stroke,210,90492
Florida,12,25-34 years,Influenza & Pneumonia,20,2799422
Missouri,29,75-84 years,Chronic Respiratory Diseases,1233,318341
Massachusetts,25,55-64 years,Alzheimer & Brain Degeneration Disease,36,943190
New Jersey,34,25-34 years,Influenza & Pneumonia,11,1152278
Rhode Island,44,55-64 years,Other Accidents,77,149609
Idaho,16,65-74 years,Cancer,843,175866
West Virginia,54,35-44 years,Other Causes,188,213802
Alabama,1,55-64 years,Other Accidents,231,657667
Missouri,29,65-74 years,Kidney Disease,332,610165
Rhode Island,44,75-84 years,Cancer,606,53375
Mississippi,28,55-64 years,Motor Vehicle Accidents,112,385911
Michigan,26,15-24 years,Other Causes,364,1326325
California,6,Not Stated,Other Causes,12,0
South Carolina,45,55-64 years,COVID-19,684,689144
Florida,12,15-24 years,Cancer,77,2460558
Minnesota,27,25-34 years,Other Accidents,196,762616
Iowa,19,25-34 years,Cancer,31,398150
Maine,23,75-84 years,COVID-19,144,82386
New Hampshire,33,75-84 years,Other Accidents,68,70954
Hawaii,15,65-74 years,Other Accidents,52,152092
Rhode Island,44,1-14 years,Other Causes,23,123386
Missouri,29,15-24 years,Motor Vehicle Accidents,158,794469
Maine,23,35-44 years,Motor Vehicle Accidents,25,154075
New Hampshire,33,15-24 years,Other Accidents,33,171874
Georgia,13,25-34 years,COVID-19,92,1493261
Texas,48,85+ years,Alzheimer & Brain Degeneration Disease,9142,408459
Vermont,50,25-34 years,Other Accidents,40,74408
New Hampshire,33,25-34 years,Motor Vehicle Accidents,11,172816
New York,36,1-14 years,Chronic Respiratory Diseases,13,3345597
Massachusetts,25,15-24 years,Other Causes,109,935124
Illinois,17,65-74 years,Heart Diseases,4971,1176033
Arizona,4,75-84 years,Heart Diseases,3579,411197
Arizona,4,1-14 years,Cancer,33,1360533
Arizona,4,45-54 years,Motor Vehicle Accidents,130,852090
Virginia,51,35-44 years,Other Causes,512,1112496
Colorado,8,45-54 years,Diabetes,74,706150
Tennessee,47,45-54 years,COVID-19,320,871279
North Dakota,38,35-44 years,COVID-19,12,92576
Pennsylvania,42,35-44 years,Chronic Respiratory Diseases,17,1513739
Oregon,41,25-34 years,Cancer,47,604284
New Mexico,35,45-54 years,Stroke,31,235656
Idaho,16,85+ years,Motor Vehicle Accidents,14,29774
Michigan,26,55-64 years,Kidney Disease,216,1399535
District of Columbia,11,25-34 years,Other Causes,50,164541
Colorado,8,35-44 years,Other Causes,480,798071
Florida,12,45-54 years,Alzheimer & Brain Degeneration Disease,11,2709395
New Jersey,34,65-74 years,Motor Vehicle Accidents,67,832866
Kansas,20,55-64 years,Other Accidents,149,371505
Wyoming,56,65-74 years,Cancer,297,60590
Alaska,2,55-64 years,Motor Vehicle Accidents,23,93339
Maryland,24,55-64 years,Other Causes,1773,818519
Maine,23,1-14 years,Other Accidents,11,152135
Virginia,51,25-34 years,Cancer,89,1190381
Tennessee,47,55-64 years,Chronic Respiratory Diseases,739,894697
Kansas,20,25-34 years,Heart Diseases,14,382922
Alaska,2,15-24 years,Other Accidents,12,96393
Indiana,18,75-84 years,COVID-19,2506,317937
Nebraska,31,35-44 years,Cancer,73,243139
New Mexico,35,25-34 years,Other Causes,280,284087
Illinois,17,1-14 years,Other Causes,676,2322679
South Carolina,45,85+ years,Influenza & Pneumonia,233,91410
Wisconsin,55,35-44 years,Motor Vehicle Accidents,81,713075
North Carolina,37,75-84 years,Alzheimer & Brain Degeneration Disease,1552,515192
New Mexico,35,85+ years,COVID-19,644,41409
Vermont,50,55-64 years,Heart Diseases,148,95379
North Carolina,37,15-24 years,Motor Vehicle Accidents,255,1387060
Virginia,51,65-74 years,Motor Vehicle Accidents,117,802291
North Dakota,38,85+ years,Other Causes,522,18813
North Dakota,38,65-74 years,Chronic Respiratory Diseases,78,66664
Virginia,51,45-54 years,Diabetes,170,1100274
Kentucky,21,25-34 years,COVID-19,10,587380
New York,36,25-34 years,Influenza & Pneumonia,28,2867651
District of Columbia,11,35-44 years,Other Causes,24,108969
South Carolina,45,1-14 years,Motor Vehicle Accidents,30,923180
Maryland,24,35-44 years,Cancer,181,782213
Nebraska,31,1-14 years,Motor Vehicle Accidents,14,397176
Colorado,8,85+ years,Diabetes,180,89921
Connecticut,9,55-64 years,Chronic Respiratory Diseases,122,513455
Kansas,20,75-84 years,Alzheimer & Brain Degeneration Disease,370,137573
Ohio,39,35-44 years,Diabetes,90,1397808
Oklahoma,40,65-74 years,Cancer,2485,368050
Colorado,8,75-84 years,Other Accidents,308,230360
Maryland,24,45-54 years,Diabetes,111,795467
Kansas,20,35-44 years,COVID-19,37,361029
Mississippi,28,1-14 years,Other Causes,208,579137
North Carolina,37,25-34 years,Cancer,90,1416069
West Virginia,54,65-74 years,Heart Diseases,1101,217323
Ohio,39,25-34 years,Chronic Respiratory Diseases,14,1554378
Kansas,20,1-14 years,Motor Vehicle Accidents,12,581597
South Dakota,46,55-64 years,Other Accidents,40,117498
California,6,25-34 years,COVID-19,304,6052952
West Virginia,54,15-24 years,Motor Vehicle Accidents,44,216856
Vermont,50,15-24 years,Other Accidents,10,86646
Kentucky,21,45-54 years,Heart Diseases,753,563662
Mississippi,28,25-34 years,Other Causes,255,393747
Utah,49,55-64 years,Other Accidents,142,303134
Pennsylvania,42,1-14 years,Cancer,54,2173564
Iowa,19,45-54 years,Stroke,41,362509
Florida,12,35-44 years,Other Accidents,1508,2600531
Virginia,51,55-64 years,COVID-19,623,1114417
Nebraska,31,65-74 years,Kidney Disease,43,178908
Nevada,32,85+ years,Cancer,808,44816
New Hampshire,33,35-44 years,Motor Vehicle Accidents,16,156500
Georgia,13,55-64 years,Other Accidents,463,1307533
New Jersey,34,45-54 years,COVID-19,882,1200823
Rhode Island,44,65-74 years,Other Accidents,53,106159
Illinois,17,45-54 years,COVID-19,741,1599789
Missouri,29,35-44 years,Other Causes,553,753739
West Virginia,54,25-34 years,Other Accidents,220,214004
Alaska,2,35-44 years,Heart Diseases,22,95765
New York,36,15-24 years,Other Accidents,240,2445246
District of Columbia,11,65-74 years,Chronic Respiratory Diseases,35,50219
Nebraska,31,15-24 years,Other Causes,61,268196
Ohio,39,85+ years,Other Causes,9687,256272
Maryland,24,1-14 years,Other Causes,299,1109806
Wisconsin,55,85+ years,Influenza & Pneumonia,340,128309
South Carolina,45,15-24 years,Heart Diseases,19,655402
Maine,23,65-74 years,Alzheimer & Brain Degeneration Disease,60,169079
Arizona,4,65-74 years,Stroke,504,751699
North Carolina,37,35-44 years,Chronic Respiratory Diseases,12,1303427
Arkansas,5,1-14 years,Motor Vehicle Accidents,10,581677
Delaware,10,35-44 years,Motor Vehicle Accidents,21,113101
Arkansas,5,75-84 years,Cancer,1811,161141
Massachusetts,25,1-14 years,Other Causes,179,1108397
Mississippi,28,75-84 years,Motor Vehicle Accidents,56,145440
South Dakota,46,25-34 years,Motor Vehicle Accidents,22,115064
New Mexico,35,55-64 years,Kidney Disease,38,272921
Missouri,29,45-54 years,Chronic Respiratory Diseases,101,732944
Wyoming,56,55-64 years,COVID-19,47,78754
Maryland,24,15-24 years,Other Accidents,49,751030
Maryland,24,65-74 years,Diabetes,408,561582
Wisconsin,55,15-24 years,Cancer,22,768140
Connecticut,9,75-84 years,Alzheimer & Brain Degeneration Disease,260,186095
Virginia,51,75-84 years,Kidney Disease,524,402130
Illinois,17,15-24 years,Other Causes,523,1652607
Wisconsin,55,75-84 years,Other Accidents,538,294186
Texas,48,15-24 years,Cancer,164,4055517
Kentucky,21,35-44 years,Heart Diseases,221,550953
Alabama,1,45-54 years,Diabetes,110,616616
Massachusetts,25,35-44 years,Other Causes,327,848373
Maryland,24,75-84 years,Motor Vehicle Accidents,36,278421
North Dakota,38,25-34 years,Other Causes,41,114571
Idaho,16,25-34 years,Cancer,13,236490
Montana,30,75-84 years,Other Causes,527,58951
Minnesota,27,1-14 years,Other Accidents,35,1084215
California,6,35-44 years,Cancer,1278,5282100
Maine,23,25-34 years,Cancer,11,162808
Nevada,32,1-14 years,Other Causes,86,577641
Alabama,1,65-74 years,COVID-19,1682,501447
Nevada,32,55-64 years,Motor Vehicle Accidents,54,383476
Wisconsin,55,55-64 years,Cancer,2021,823018
North Dakota,38,15-24 years,Other Causes,19,109397
Utah,49,75-84 years,Kidney Disease,105,107832
Hawaii,15,25-34 years,Cancer,15,199995
Rhode Island,44,35-44 years,Cancer,32,125335
Delaware,10,55-64 years,Kidney Disease,23,137730
Alabama,1,25-34 years,Other Causes,401,647229
Arizona,4,15-24 years,COVID-19,24,973547
Virginia,51,1-14 years,Other Causes,487,1545598
South Carolina,45,25-34 years,Cancer,70,682854
Oklahoma,40,35-44 years,Stroke,29,497873
Oregon,41,45-54 years,Heart Diseases,244,510127
Wyoming,56,35-44 years,Other Accidents,25,74285
Indiana,18,85+ years,Alzheimer & Brain Degeneration Disease,2058,131069
Washington,53,55-64 years,Diabetes,301,959608
Wyoming,56,45-54 years,Motor Vehicle Accidents,15,63853
Tennessee,47,85+ years,Chronic Respiratory Diseases,881,121769
Colorado,8,1-14 years,Other Causes,190,1042523
Kansas,20,65-74 years,Other Causes,986,272236
Arizona,4,85+ years,Influenza & Pneumonia,285,145737
Indiana,18,35-44 years,Cancer,227,828959
Alabama,1,75-84 years,Other Accidents,216,256847
New York,36,45-54 years,Chronic Respiratory Diseases,158,2471804
Oregon,41,75-84 years,Heart Diseases,1918,216944
North Carolina,37,1-14 years,Cancer,32,1904242
Washington,53,45-54 years,Kidney Disease,18,923777
Kentucky,21,1-14 years,Other Causes,153,833027
Indiana,18,1-14 years,Cancer,10,1297321
Michigan,26,85+ years,Other Accidents,788,213136
West Virginia,54,55-64 years,Kidney Disease,58,254726
Delaware,10,85+ years,Other Accidents,66,20254
Florida,12,55-64 years,Motor Vehicle Accidents,536,2898355
Nebraska,31,25-34 years,COVID-19,13,255338
Virginia,51,15-24 years,Other Causes,277,1113447
Louisiana,22,25-34 years,Influenza & Pneumonia,12,658227
Mississippi,28,85+ years,Heart Diseases,2372,52298
Nevada,32,45-54 years,Chronic Respiratory Diseases,33,394228
District of Columbia,11,15-24 years,Other Causes,63,87968
Delaware,10,25-34 years,Other Accidents,139,129080
Texas,48,1-14 years,COVID-19,10,6157593
Montana,30,55-64 years,Other Accidents,46,150008
Utah,49,35-44 years,Motor Vehicle Accidents,47,443453
Iowa,19,65-74 years,Other Accidents,135,311447
Ohio,39,75-84 years,Chronic Respiratory Diseases,2297,600805
New York,36,85+ years,Alzheimer & Brain Degeneration Disease,3477,460001
Colorado,8,55-64 years,Diabetes,185,713013
Nebraska,31,85+ years,Cancer,708,43058
Ohio,39,65-74 years,Motor Vehicle Accidents,151,1189243
Missouri,29,1-14 years,Motor Vehicle Accidents,48,1137620
Kansas,20,45-54 years,Other Causes,250,327961
West Virginia,54,1-14 years,Other Causes,64,296497
Rhode Island,44,15-24 years,Other Accidents,19,146657
Louisiana,22,35-44 years,COVID-19,135,589854
Pennsylvania,42,15-24 years,Other Accidents,273,1603208
Indiana,18,15-24 years,Other Accidents,137,930398
Arkansas,5,45-54 years,Influenza & Pneumonia,32,361582
Illinois,17,55-64 years,Diabetes,490,1658283
New Hampshire,33,55-64 years,Motor Vehicle Accidents,22,214314
Connecticut,9,35-44 years,Heart Diseases,59,427141
Ohio,39,55-64 years,Motor Vehicle Accidents,204,1604683
New Jersey,34,55-64 years,Kidney Disease,143,1223649
Kentucky,21,85+ years,Motor Vehicle Accidents,35,81868
Alaska,2,65-74 years,Chronic Respiratory Diseases,65,61300
Tennessee,47,75-84 years,Chronic Respiratory Diseases,1453,340228
Montana,30,25-34 years,Cancer,11,138386
North Carolina,37,85+ years,COVID-19,2407,189394
Wisconsin,55,25-34 years,Motor Vehicle Accidents,95,741222
Georgia,13,85+ years,Kidney Disease,522,151069
Missouri,29,25-34 years,Stroke,11,825887
South Dakota,46,65-74 years,Chronic Respiratory Diseases,109,89216
Michigan,26,75-84 years,COVID-19,3283,514685
Michigan,26,35-44 years,Cancer,311,1166172
Texas,48,65-74 years,Stroke,2043,2245028
Minnesota,27,65-74 years,Chronic Respiratory Diseases,513,531059
New York,36,75-84 years,Diabetes,1160,976223
Mississippi,28,65-74 years,Chronic Respiratory Diseases,588,288955
Washington,53,25-34 years,COVID-19,13,1172075
Alaska,2,45-54 years,Stroke,11,85130
Colorado,8,25-34 years,Cancer,53,913354
Kansas,20,85+ years,Cancer,1077,65678
Vermont,50,85+ years,Stroke,141,14437
Idaho,16,45-54 years,Other Causes,130,201766
Oregon,41,35-44 years,COVID-19,21,568712
Michigan,26,65-74 years,Motor Vehicle Accidents,104,1037580
Rhode Island,44,45-54 years,COVID-19,32,135112
Utah,49,45-54 years,COVID-19,82,328430
California,6,15-24 years,Diabetes,17,5180973
Hawaii,15,1-14 years,Other Causes,32,252805
Minnesota,27,15-24 years,Cancer,20,717060
New Mexico,35,75-84 years,Cancer,993,111714
North Dakota,38,55-64 years,Motor Vehicle Accidents,17,93878
Alabama,1,35-44 years,Cancer,167,593306
Louisiana,22,65-74 years,Chronic Respiratory Diseases,596,442534
Rhode Island,44,85+ years,Other Causes,1083,27512
Kentucky,21,65-74 years,Influenza & Pneumonia,180,447876
District of Columbia,11,75-84 years,Diabetes,41,24882
New Jersey,34,1-14 years,Other Causes,331,1598657
District of Columbia,11,55-64 years,Kidney Disease,11,69876
Washington,53,75-84 years,Kidney Disease,131,339621
Mississippi,28,45-54 years,Stroke,93,362040
New Mexico,35,1-14 years,Other Accidents,10,393254
Oklahoma,40,25-34 years,Heart Diseases,59,543593
Texas,48,45-54 years,Motor Vehicle Accidents,524,3554098
North Dakota,38,1-14 years,Other Causes,13,153596
Arkansas,5,35-44 years,Chronic Respiratory Diseases,18,370263
Wisconsin,55,45-54 years,Other Accidents,283,715209
Mississippi,28,15-24 years,Other Causes,155,402867
Hawaii,15,75-84 years,Other Accidents,64,74688
Kentucky,21,15-24 years,Other Accidents,87,583798
Mississippi,28,35-44 years,Cancer,147,365754
Delaware,10,1-14 years,Other Causes,17,168694
Tennessee,47,65-74 years,Kidney Disease,277,681396
Montana,30,15-24 years,Other Accidents,14,135891
Massachusetts,25,65-74 years,COVID-19,1475,673305
Washington,53,85+ years,Other Causes,4254,134578
Illinois,17,25-34 years,Heart Diseases,123,1758096
Utah,49,85+ years,Other Accidents,199,38574
Michigan,26,1-14 years,Cancer,31,1763131
Colorado,8,65-74 years,Stroke,271,522131
Idaho,16,15-24 years,Other Causes,53,241619
Connecticut,9,25-34 years,Heart Diseases,14,448029
West Virginia,54,75-84 years,Influenza & Pneumonia,128,109552
Iowa,19,1-14 years,Motor Vehicle Accidents,11,604131
South Carolina,45,45-54 years,Influenza & Pneumonia,28,640607
Tennessee,47,15-24 years,Cancer,26,869205
New York,36,55-64 years,Heart Diseases,4556,2597156
New Hampshire,33,45-54 years,Diabetes,24,183273
New Jersey,34,85+ years,Motor Vehicle Accidents,26,203104
Pennsylvania,42,Not Stated,Heart Diseases,10,0
Oklahoma,40,85+ years,Chronic Respiratory Diseases,621,74163
Washington,53,1-14 years,Other Accidents,41,1392247
Wyoming,56,75-84 years,Stroke,61,27598
California,6,45-54 years,Chronic Respiratory Diseases,230,4979745
Alaska,2,25-34 years,Motor Vehicle Accidents,23,117588
North Carolina,37,65-74 years,COVID-19,1835,1046508
Florida,12,85+ years,Stroke,6989,581454
Hawaii,15,55-64 years,Heart Diseases,322,179137
Tennessee,47,35-44 years,Diabetes,75,847658
Washington,53,35-44 years,Heart Diseases,153,1028141
South Carolina,45,65-74 years,Influenza & Pneumonia,141,570600
Rhode Island,44,25-34 years,Other Causes,25,148213
Missouri,29,85+ years,Stroke,1251,133531
Massachusetts,25,85+ years,Influenza & Pneumonia,612,159523
Oregon,41,85+ years,COVID-19,517,84538
Indiana,18,55-64 years,Heart Diseases,1999,875082
Nevada,32,25-34 years,COVID-19,21,453116
California,6,55-64 years,Heart Diseases,7744,4786635
Idaho,16,1-14 years,Other Causes,36,370988
Massachusetts,25,25-34 years,Cancer,51,994454
New Hampshire,33,85+ years,Alzheimer & Brain Degeneration Disease,356,30241
Georgia,13,35-44 years,Heart Diseases,515,1380954
Alaska,2,85+ years,Diabetes,10,7181
Missouri,29,55-64 years,COVID-19,701,830732
South Dakota,46,1-14 years,Other Accidents,10,182833
Hawaii,15,85+ years,Diabetes,76,41668
Ohio,39,45-54 years,Influenza & Pneumonia,87,1447581
Massachusetts,25,45-54 years,Other Accidents,542,893633
Utah,49,15-24 years,Other Causes,153,518499
Idaho,16,55-64 years,Cancer,475,218360
Maine,23,15-24 years,Other Accidents,28,152137
New Mexico,35,65-74 years,Cancer,1076,224483
Georgia,13,45-54 years,Kidney Disease,133,1399652
Louisiana,22,75-84 years,Diabetes,344,216431
New Jersey,34,15-24 years,Motor Vehicle Accidents,94,1093555
Arkansas,5,55-64 years,Alzheimer & Brain Degeneration Disease,30,385994
Idaho,16,75-84 years,COVID-19,432,85030
Delaware,10,45-54 years,Chronic Respiratory Diseases,16,118881
Idaho,16,35-44 years,Other Causes,99,227172
New Mexico,35,15-24 years,Motor Vehicle Accidents,65,278459
Georgia,13,75-84 years,Heart Diseases,4834,439884
North Carolina,37,45-54 years,Influenza & Pneumonia,69,1364067
Wyoming,56,15-24 years,Other Causes,21,74590
Tennessee,47,25-34 years,Stroke,15,949656
New Jersey,34,75-84 years,Cancer,4321,439565
Nevada,32,15-24 years,Other Accidents,46,365218
Massachusetts,25,75-84 years,Diabetes,357,336504
Oklahoma,40,55-64 years,Diabetes,227,493694
Iowa,19,15-24 years,Motor Vehicle Accidents,52,436415
Montana,30,35-44 years,Other Accidents,50,129795
West Virginia,54,85+ years,COVID-19,469,40136
South Dakota,46,45-54 years,Other Causes,68,94865
California,6,85+ years,Kidney Disease,1392,749846
Illinois,17,85+ years,Stroke,2808,266969
Florida,12,65-74 years,Influenza & Pneumonia,487,2465369
Alabama,1,1-14 years,Other Causes,365,902823
Minnesota,27,35-44 years,Other Accidents,182,725577
North Dakota,38,75-84 years,Stroke,80,34368
California,6,1-14 years,Heart Diseases,21,7391703
Ohio,39,15-24 years,Other Accidents,294,1507223
California,6,75-84 years,Stroke,4216,1701599
Indiana,18,25-34 years,Stroke,22,890687
Maine,23,45-54 years,Diabetes,38,174730
Utah,49,65-74 years,Cancer,881,219466
Wisconsin,55,65-74 years,Motor Vehicle Accidents,88,594748
Maine,23,55-64 years,Chronic Respiratory Diseases,128,211560
Iowa,19,85+ years,Influenza & Pneumonia,323,78674
Vermont,50,65-74 years,Diabetes,31,75206
Kentucky,21,75-84 years,Other Accidents,239,220820
Alabama,1,85+ years,Influenza & Pneumonia,304,91543
Vermont,50,45-54 years,Cancer,69,78051
Wisconsin,55,1-14 years,Cancer,19,1044527
Pennsylvania,42,75-84 years,Diabetes,995,707157
Vermont,50,75-84 years,Influenza & Pneumonia,12,35396
West Virginia,54,45-54 years,Cancer,312,229251
New Mexico,35,35-44 years,COVID-19,104,254846
Tennessee,47,1-14 years,Other Causes,474,1253286
Louisiana,22,85+ years,Heart Diseases,3430,82057
New Jersey,34,35-44 years,Heart Diseases,220,1137693
Vermont,50,35-44 years,Other Accidents,36,71267
Iowa,19,35-44 years,Motor Vehicle Accidents,45,385215
South Dakota,46,85+ years,Other Accidents,121,20985
Utah,49,25-34 years,Cancer,30,471806
Minnesota,27,75-84 years,Diabetes,349,266713
Indiana,18,45-54 years,Kidney Disease,70,824029
Montana,30,65-74 years,Stroke,64,124631
Alabama,1,15-24 years,Heart Diseases,25,635707
District of Columbia,11,85+ years,Other Accidents,26,12242
Connecticut,9,85+ years,Chronic Respiratory Diseases,531,91330
Iowa,19,55-64 years,Alzheimer & Brain Degeneration Disease,19,415696
Montana,30,45-54 years,Other Accidents,47,117800
Oregon,41,55-64 years,Other Causes,1188,538950
Kentucky,21,55-64 years,Cancer,2146,598289
Texas,48,75-84 years,Stroke,2948,1080742
Pennsylvania,42,45-54 years,Motor Vehicle Accidents,158,1604097
Oklahoma,40,75-84 years,Kidney Disease,179,192919
Michigan,26,25-34 years,Stroke,14,1311614
Georgia,13,65-74 years,Diabetes,665,926001
Hawaii,15,45-54 years,Other Causes,94,167747
Hawaii,15,15-24 years,Other Causes,23,165937
Oregon,41,1-14 years,Cancer,10,719347
Delaware,10,65-74 years,Kidney Disease,44,112858
Arizona,4,35-44 years,Motor Vehicle Accidents,157,896027
South Dakota,46,15-24 years,Other Causes,43,116664
Colorado,8,15-24 years,Cancer,22,743213
New Hampshire,33,65-74 years,Other Accidents,57,152669
Washington,53,15-24 years,Other Accidents,126,929322
Pennsylvania,42,55-64 years,Other Accidents,994,1804883
North Dakota,38,45-54 years,Stroke,10,78199
Louisiana,22,1-14 years,Other Causes,334,909405
Oklahoma,40,15-24 years,Cancer,11,539562
Ohio,39,1-14 years,Other Causes,794,2131107
Pennsylvania,42,25-34 years,COVID-19,50,1709136
Michigan,26,45-54 years,COVID-19,481,1254679
Delaware,10,75-84 years,Influenza & Pneumonia,38,55794
South Dakota,46,75-84 years,Diabetes,76,41670
Arkansas,5,25-34 years,Diabetes,12,396868
Connecticut,9,65-74 years,Influenza & Pneumonia,67,352819
Montana,30,85+ years,Chronic Respiratory Diseases,214,22855
District of Columbia,11,45-54 years,Cancer,65,74286
Nebraska,31,75-84 years,Diabetes,151,90492
Florida,12,25-34 years,Heart Diseases,238,2799422
Missouri,29,75-84 years,Alzheimer & Brain Degeneration Disease,976,318341
Massachusetts,25,55-64 years,Motor Vehicle Accidents,72,943190
New Jersey,34,25-34 years,Stroke,11,1152278
Rhode Island,44,55-64 years,Stroke,22,149609
Idaho,16,65-74 years,Other Accidents,67,175866
West Virginia,54,35-44 years,Diabetes,17,213802
Alabama,1,55-64 years,Heart Diseases,2016,657667
Missouri,29,65-74 years,Motor Vehicle Accidents,91,610165
Rhode Island,44,75-84 years,Other Causes,453,53375
Mississippi,28,55-64 years,Diabetes,236,385911
Michigan,26,15-24 years,Heart Diseases,20,1326325
South Carolina,45,55-64 years,Other Accidents,326,689144
Florida,12,15-24 years,Other Accidents,346,2460558
Minnesota,27,25-34 years,Heart Diseases,25,762616
Iowa,19,25-34 years,COVID-19,14,398150
Maine,23,75-84 years,Other Causes,859,82386
New Hampshire,33,75-84 years,COVID-19,234,70954
Hawaii,15,65-74 years,Diabetes,70,152092
Missouri,29,15-24 years,Other Accidents,148,794469
Maine,23,35-44 years,Stroke,12,154075
New Hampshire,33,15-24 years,Motor Vehicle Accidents,18,171874
Georgia,13,25-34 years,Cancer,110,1493261
Texas,48,85+ years,Other Accidents,1170,408459
Vermont,50,25-34 years,Motor Vehicle Accidents,12,74408
New Hampshire,33,25-34 years,Cancer,11,172816
New York,36,1-14 years,Other Accidents,100,3345597
Massachusetts,25,15-24 years,Cancer,27,935124
Illinois,17,65-74 years,Kidney Disease,597,1176033
Arizona,4,75-84 years,Motor Vehicle Accidents,73,411197
Arizona,4,1-14 years,Other Causes,352,1360533
Arizona,4,45-54 years,Cancer,651,852090
Virginia,51,35-44 years,Influenza & Pneumonia,18,1112496
Colorado,8,45-54 years,Stroke,57,706150
Tennessee,47,45-54 years,Stroke,174,871279
North Dakota,38,35-44 years,Other Causes,35,92576
Pennsylvania,42,35-44 years,Heart Diseases,386,1513739
Oregon,41,25-34 years,Other Causes,202,604284
New Mexico,35,45-54 years,Motor Vehicle Accidents,60,235656
Idaho,16,85+ years,Kidney Disease,65,29774
